gender,income,genhealth,illegalact,age,charged,grade90,jobsnum90,afqt89,jobtrain90,job_agri,job_mining,job_construction,job_manuf,job_transp,job_wholesale,job_retail,job_fin,job_busi,job_personal,job_enter,job_pro,job_pub
0,0.0,3,0,15,0,12,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.105,3,0,19,1,7,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.0,3,0,18,1,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.8,1,0,15,0,12,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.2,2,0,21,1,16,9,92,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.1,4,0,20,0,16,8,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4.2,2,0,20,0,16,7,89,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.9,2,0,15,0,16,7,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.25,3,1,16,0,12,5,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.9,1,0,14,0,12,8,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.02,2,0,18,0,12,6,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.8,2,0,17,1,12,14,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.9,1,0,21,0,12,5,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.0,4,1,21,0,13,8,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.85,3,0,15,0,12,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4.1652,2,0,20,0,19,5,93,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1.7,2,0,14,0,16,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3.2,2,0,20,0,18,9,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.14,4,1,20,1,12,10,85,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3.5,2,0,18,0,16,5,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2.29,3,0,17,0,16,3,58,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.6,3,0,20,0,20,10,93,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3.4,2,0,21,1,13,8,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,1,0,19,0,12,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.9,1,0,15,0,11,16,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,4.0,2,0,19,0,15,2,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1.7,2,0,21,0,16,15,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.1,2,0,14,0,16,5,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.5,2,0,17,0,12,11,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.02,2,3,18,0,15,19,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.6,5,3,22,0,13,6,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,7.4283,2,0,20,1,14,3,71,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.42,2,0,20,0,12,7,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4.3,2,0,18,0,16,8,92,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.4,2,1,16,0,12,11,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1.9,2,1,14,0,13,10,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2.2,1,0,21,0,12,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.6,1,0,17,0,16,10,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.0,1,0,16,0,16,12,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2.5,2,0,15,0,15,22,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.2,1,0,20,0,17,5,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.7,1,0,16,0,18,13,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.0,3,0,14,0,12,5,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.0,2,0,15,0,12,6,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,1,0,17,0,14,3,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2.5,2,3,16,0,12,7,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2.5464,2,0,15,0,12,6,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2.17,2,0,19,0,12,17,41,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.2,2,0,17,0,12,7,92,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3.6,4,5,15,0,9,21,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.2,1,0,17,0,14,8,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.7,2,0,20,0,16,8,85,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.2,2,0,18,0,16,7,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.5,3,2,19,0,14,13,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.35,2,2,17,1,12,10,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7.4283,2,0,17,0,16,10,98,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.0,1,0,19,0,12,14,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.85,2,0,18,0,12,7,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2.85,2,5,17,0,13,7,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,2.7,3,0,17,0,16,7,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.0,4,0,21,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.0,3,0,18,0,13,13,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.0,2,2,20,0,13,7,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.8,2,0,20,0,12,7,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2.1,1,0,21,0,15,3,84,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.0,2,0,20,0,12,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.48,1,3,18,0,13,10,62,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1.2,1,0,14,0,12,8,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,3.6,1,0,19,0,15,11,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.0,3,0,20,0,10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.0,2,0,21,0,15,3,65,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.15,4,0,17,0,18,8,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.75,3,0,15,0,18,5,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.9,2,0,15,0,16,6,72,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4.5,2,0,21,0,16,2,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,2.56,2,0,14,0,16,9,53,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7.4283,1,0,19,1,18,6,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1.2,2,0,14,0,17,5,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.91,1,0,16,0,12,20,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3.0,3,2,15,0,18,4,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.0,3,0,20,0,12,3,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7.4283,3,0,21,0,16,3,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.5,2,0,18,1,14,30,75,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.0,4,0,21,0,11,1,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.0,1,0,21,0,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,4,0,20,0,10,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3.0,3,0,18,0,11,2,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.5,2,0,16,0,16,9,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2.25,2,0,15,0,16,8,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,4.2,2,0,18,0,12,6,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,3.2,3,0,16,0,16,9,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.7,1,2,14,0,15,9,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,7.4283,1,0,21,0,16,6,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7.4283,2,0,19,0,20,6,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.3,1,0,17,0,20,7,89,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.0,3,0,14,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.64,3,0,17,1,9,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2.2,2,0,16,0,9,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.0,3,3,18,0,12,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.6,2,0,21,1,12,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.0,1,0,21,0,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.4,2,0,16,0,11,31,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2.1,1,0,14,0,15,6,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.9,2,0,21,0,12,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2.3,2,0,17,0,14,5,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1.2,2,0,14,0,12,7,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,3.1,3,0,17,0,12,14,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2.9,1,0,15,0,15,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.0,2,0,17,0,13,1,63,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.0,4,0,21,0,12,7,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,4,0,18,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.0,3,0,16,0,12,11,46,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.2,1,0,20,0,12,16,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3.1,1,0,20,1,12,6,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1.6,3,0,21,0,12,9,79,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.6,1,0,16,0,14,7,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3.1029,1,0,20,0,19,16,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.9,3,0,17,0,12,15,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,3,0,16,0,15,4,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.7544,3,0,14,1,11,4,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1.0,1,0,17,0,12,7,94,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.8,2,0,16,0,12,4,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.35,3,1,17,0,12,9,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.2,4,1,14,1,12,7,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.0,2,0,21,0,14,13,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.3,2,0,20,1,12,8,69,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.3,1,0,18,0,14,3,88,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,3.7,2,0,16,0,14,5,70,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2.5,2,0,16,0,16,9,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.7,4,0,20,1,12,12,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,7.4283,2,0,19,0,16,6,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.0,2,0,22,0,16,10,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.0,2,0,19,0,15,7,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3.0,4,0,18,0,13,14,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2.75,2,0,16,0,13,9,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.0,3,0,17,0,12,10,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.0,2,0,19,0,12,9,33,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.3,2,0,18,0,13,5,44,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.4,3,0,16,0,12,3,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.4,1,2,17,0,18,6,81,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1.9,3,1,15,0,16,10,79,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3.2,1,0,20,0,12,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2.8,2,0,19,0,12,6,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.456,2,0,17,0,10,3,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.95,2,0,14,0,15,5,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.8,1,0,20,0,12,9,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.0,3,0,17,0,12,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,3,0,16,1,12,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.02,2,1,20,1,12,7,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.4,1,0,22,0,18,8,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.9,3,0,19,0,13,9,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.0,2,0,17,0,12,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.8,3,1,15,1,12,11,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.0,1,0,21,0,12,6,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.0,3,0,16,1,11,4,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.0,1,0,17,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.5,2,0,17,0,12,3,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.8,3,0,19,0,12,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.5,1,0,15,0,12,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.0,2,0,14,0,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.5,3,0,19,0,13,10,24,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.5,2,0,21,0,12,1,53,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7.4283,2,0,20,0,12,2,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,2.5,2,0,18,0,12,2,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,3.5,3,0,14,0,12,2,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.0,3,0,16,0,12,5,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.6,2,1,15,1,11,6,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.0,4,3,14,0,12,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.8,3,3,15,0,12,10,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.154,2,0,19,0,16,4,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3.7,2,0,22,0,17,8,66,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7.4283,1,0,19,0,12,11,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,3.4,1,0,21,0,16,4,81,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.0,1,0,21,0,14,9,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,5,0,17,0,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.4,1,0,20,0,16,6,92,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.5,5,0,17,1,9,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.8,2,3,15,1,9,7,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2.1,2,0,22,0,12,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0,2,0,22,0,15,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.9,4,0,20,1,10,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.98,2,0,19,0,12,3,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.14,3,3,18,0,11,3,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.16,1,0,16,0,12,5,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3.8,2,0,16,0,16,5,96,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1.1,2,0,20,0,13,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.2,3,2,19,0,16,13,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,4.0,1,4,17,0,16,19,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.0,1,1,16,0,15,11,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.4283,1,6,21,0,12,6,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,7.4283,3,3,20,1,13,5,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1.9,3,0,16,0,17,12,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,3.5,2,3,19,0,12,10,24,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.31,4,0,17,0,12,3,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.7,4,4,19,0,12,3,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1.1,3,0,22,0,12,2,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4.0,2,5,14,0,12,11,42,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3.1,2,0,16,0,11,16,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3.1,2,3,21,0,16,13,59,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.8,2,0,17,0,16,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.7,2,1,16,1,16,10,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.5,2,0,17,0,19,13,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5.0,4,3,21,0,16,5,77,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.254,4,1,21,1,12,6,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.1,5,0,17,0,12,15,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4.0,2,3,19,0,16,8,88,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2.25,2,0,19,0,16,9,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1.86,3,0,20,0,17,3,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.0,2,0,20,0,16,5,94,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.3,2,0,19,0,16,9,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.0,2,0,17,0,12,6,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.0,4,0,15,0,8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.0,3,0,22,0,11,10,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.5,2,0,21,0,12,6,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.6,2,0,18,0,12,7,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.4,2,0,17,0,12,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1.0,2,0,15,0,12,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.0,3,0,16,0,15,9,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.0,4,1,17,0,10,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.1,3,0,19,0,12,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,3.4,2,0,16,0,12,3,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.0,4,0,17,0,11,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.0,2,0,16,0,14,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.0,1,2,15,0,12,7,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.0,5,0,20,0,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,5,0,20,1,10,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4.2,2,0,17,0,16,6,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.09,2,0,17,1,12,9,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.742,2,0,21,0,12,1,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.4,4,0,22,0,7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.3,2,0,19,0,13,3,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.0,2,0,15,0,13,2,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1.79,1,0,16,0,16,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4.0,2,1,18,0,12,5,79,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,4.0,1,0,21,0,16,16,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2.5,4,3,18,0,12,3,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1.0,3,1,16,0,12,15,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.0,1,0,14,0,14,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.8,2,3,17,0,10,16,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,7.4283,1,0,21,0,14,4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
